Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead
Meta,Degreefyd_B,2026-05-07,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1377.83,28
Meta,Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,695.02,26
Meta,Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,399.02,22
Meta,Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,491.97,6
Meta,Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,36.21,1
Meta,Degreefyd_B,2026-05-07,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,443.18,12
Meta,Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,82.03,3
Meta,Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,282.71,6
Meta,Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,23.49,3
Meta,Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,305.4,6
Meta,Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,217.42,4
Meta,Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,0.0,0
Meta,DegreeFYD,2026-05-07,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,245.06,6
Meta,DegreeFYD,2026-05-07,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,92.73,6
Meta,DegreeFYD,2026-05-07,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,120.84,0
Meta,DegreeFYD,2026-05-07,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,0.0,0
Meta,DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR1,70.32,6
Meta,DegreeFYD,2026-05-07,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,148.71,0
Meta,DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR2,69.45,6
Meta,DegreeFYD,2026-05-07,Online_UG_Video_SF,Online_UG_Video_SF_VD2,196.09,6
Meta,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,62.86,0
Meta,DegreeFYD,2026-05-07,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,142.47,3
Meta,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,55.38,3
Meta,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,14.39,3
Meta,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,42.53,0
Meta,DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,68.96,0
Meta,DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,68.7,0
