Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-11-23,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,483.82,8,8,0,0,60,60,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-23,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,0.1,0,0,0,0,0,0,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-23,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,232.88,8,7,0,0,29,33,0,-,-,-,13%,0
Meta Ads,,FaceBook_University_Admit,2025-11-27,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,865.55,16,16,0,0,54,54,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-27,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,92.48,1,1,0,0,92,92,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-27,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,480.33,16,14,0,0,30,34,0,-,-,-,13%,0
Meta Ads,,FaceBook_University_Admit,2025-11-28,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,954.25,10,11,0,0,95,87,0,-,-,-,-10%,0
Meta Ads,,FaceBook_University_Admit,2025-11-28,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,0.14,0,0,0,0,0,0,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-28,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,476.15,14,12,0,0,34,40,0,-,-,-,14%,0
Meta Ads,,FaceBook_University_Admit,2025-11-29,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,858.76,13,13,0,0,66,66,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-29,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,109.22,2,2,0,0,55,55,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-29,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,368,17,13,0,0,22,28,0,-,-,-,24%,0
Meta Ads,,FaceBook_University_Admit,2025-11-30,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,617.94,5,5,0,0,124,124,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-30,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,348.57,13,10,0,0,27,35,0,-,-,-,23%,0
Meta Ads,,FaceBook_University_Admit,2025-12-01,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,183.61,6,5,0,0,31,37,0,-,-,-,17%,0
Meta Ads,,FaceBook_University_Admit,2025-12-01,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,439.86,6,6,0,0,73,73,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-01,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,369.05,10,6,1,0,37,62,0,369.05,-,-,40%,0
Meta Ads,,FaceBook_University_Admit,2025-12-02,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,335.14,11,11,0,0,30,30,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-02,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,176.25,3,2,0,0,59,88,0,-,-,-,33%,0
Meta Ads,,FaceBook_University_Admit,2025-12-02,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,393.9,7,7,0,0,56,56,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-02,Online_UG_PG_Degree_Admission,Online_UG_PG_Online_Admission,400.84,17,14,0,0,24,29,0,-,-,-,18%,0
Meta Ads,,FaceBook_University_Admit,2025-12-03,Galgotias_University_2026_AU,Galgotias_University_2026_AU_A02,295.22,12,12,0,0,25,25,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-03,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,213.81,3,3,0,0,71,71,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-12-03,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,298.89,9,9,0,0,33,33,0,-,-,-,0%,0
