Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,DegreeFYD,2026-05-05,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,22.08,0,0
Meta,Lead Gen,DegreeFYD,2026-05-05,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,11.65,0,0
Meta,Lead Gen,DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,3.42,0,0
Meta,Lead Gen,DegreeFYD,2026-05-05,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,35.98,0,0
Meta,Lead Gen,DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,9.15,0,0
Meta,Lead Gen,DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,0.19,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-06,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1754.99,36,31
Meta,Lead Gen,Degreefyd_B,2026-05-06,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,967.19,31,32
Meta,Lead Gen,Degreefyd_B,2026-05-06,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,558.29,25,24
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,675.6,9,7
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,12.44,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,9.19,1,0
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,574.06,5,3
Meta,Lead Gen,Degreefyd_B,2026-05-06,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,92.61,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-06,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,393.58,21,14
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,24.02,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,408.41,3,3
Meta,Lead Gen,Degreefyd_B,2026-05-06,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,335.16,2,2
Meta,Lead Gen,DegreeFYD,2026-05-06,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,90.62,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,730.42,18,13
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,131.42,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,43.11,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,1.09,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,376.87,6,0
Meta,Lead Gen,DegreeFYD,2026-05-06,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,309.84,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,103.7,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_UG&PG_SF,Online_UG&PG_SF_CR1,91.96,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,335.27,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_UG&PG_SF,Online_UG&PG_SF_CR2,340.74,3,2
Meta,Lead Gen,DegreeFYD,2026-05-06,Online_UG_Video_SF,Online_UG_Video_SF_VD2,351.98,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,111.73,3,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,361.25,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,208.43,6,2
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,213.27,6,0
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,105.83,6,1
Meta,Lead Gen,DegreeFYD,2026-05-06,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,178.08,0,1
Meta,Lead Gen,DegreeFYD,2026-05-06,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,145.75,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,188.47,0,1
Meta,Lead Gen,DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,140.61,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,160.94,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,57.94,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,117.75,0,1
Meta,Lead Gen,DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,257.6,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR1,18.35,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,234.63,2,1
Meta,Lead Gen,DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR1,208.97,6,3
Meta,Lead Gen,DegreeFYD,2026-05-06,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR2,22.47,0,0
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR1,247.78,7,7
Meta,Lead Gen,DegreeFYD,2026-05-06,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR2,26.24,1,1
Meta,Lead Gen,Degreefyd_B,2026-05-07,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1377.83,28,34
Meta,Lead Gen,Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,695.02,26,42
Meta,Lead Gen,Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,399.02,22,31
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,491.97,6,10
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,36.21,1,2
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,443.18,12,16
Meta,Lead Gen,Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,82.03,3,4
Meta,Lead Gen,Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,282.71,6,8
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,23.49,3,2
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,305.4,6,7
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,217.42,4,3
Meta,Lead Gen,Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,0.0,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,245.06,6,9
Meta,Lead Gen,DegreeFYD,2026-05-07,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,92.73,6,4
Meta,Lead Gen,DegreeFYD,2026-05-07,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,120.84,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,0.0,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR1,70.32,6,4
Meta,Lead Gen,DegreeFYD,2026-05-07,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,148.71,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Online_UG&PG_SF,Online_UG&PG_SF_CR2,69.45,6,4
Meta,Lead Gen,DegreeFYD,2026-05-07,Online_UG_Video_SF,Online_UG_Video_SF_VD2,196.09,6,5
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,62.86,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,142.47,3,3
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,55.38,3,3
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,14.39,3,2
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,42.53,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,68.96,0,0
