Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,12.44,0,0
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,9.19,1,0
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,574.06,5,4
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,92.61,0,0
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,393.58,21,19
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,24.02,0,0
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,408.41,3,4
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-06,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,335.16,2,3
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1377.84,28,25
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,695.09,26,33
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,399.08,22,24
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,492.13,6,8
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,36.21,1,1
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,443.23,12,12
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,82.03,3,3
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,282.71,6,6
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,23.49,3,1
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,305.44,6,5
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,217.44,4,2
Meta,Lead Gen,FaceBook_Degreefyd_B,2026-05-07,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,0.0,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,226.98,3,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,414.25,18,9
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,85.46,3,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,35.0,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR1,26.97,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,164.01,3,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,179.82,3,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,245.55,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_UG&PG_SF,Online_UG&PG_SF_CR1,70.24,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,218.8,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_UG&PG_SF,Online_UG&PG_SF_CR2,212.4,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Online_UG_Video_SF,Online_UG_Video_SF_VD2,225.72,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,145.9,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,221.02,0,1
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,93.5,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,177.89,3,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,36.59,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,76.77,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,72.35,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,122.13,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,22.08,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,11.65,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,3.42,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,35.98,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,9.15,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-05,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,0.19,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,90.62,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,730.42,18,17
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,131.42,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,43.11,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,1.09,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,376.87,6,2
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,309.84,0,0
Meta,Lead Gen,FaceBook_DegreeFYD,2026-05-06,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,103.7,0,0
