Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,lead_LMS
Meta,Lead Gen,Degreefyd_B,2026-05-03,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1332.58,27,69
Meta,Lead Gen,Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,671.46,16,42
Meta,Lead Gen,Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,366.65,24,62
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,480.46,7,18
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,11.4,1,3
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,431.74,4,11
Meta,Lead Gen,Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,42.95,0,3
Meta,Lead Gen,Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,357.66,3,8
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,34.48,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,272.74,6,13
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,222.35,3,8
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,5.14,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,406.32,12,21
Meta,Lead Gen,DegreeFYD,2026-05-03,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,641.84,27,57
Meta,Lead Gen,DegreeFYD,2026-05-03,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,67.85,3,5
Meta,Lead Gen,DegreeFYD,2026-05-03,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,210.33,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,39.28,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,369.1,3,7
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,420.56,3,6
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,524.49,3,5
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA01_{UG All Colleges V03.1},F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},1176.32,13,10
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,2218.71,39,28
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA1_FEB_MBA_Aryan_April_ V2,F_UA1_FEB_MBA_Aryan_April_ V2 (INT01) C02,0.0,3,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C01,1189.51,15,7
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C02,13.73,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1(INT 01 ) C03,0.23,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V2,UA_MBA_Website_Leads V2 (INT 01) C01,436.33,0,2
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C01,71.35,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C02,138.93,3,1
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C03,10.45,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C01,66.8,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C02,291.02,9,2
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C01,475.17,3,1
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C02,38.93,0,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C03,39.05,0,0
