Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-04-30,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,286.95,285.51,4,1.0,0,1.0,DISCREPANCY
2026-04-30,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,58.06,58.06,2,2.0,0,2.0,MATCH
2026-04-30,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,191.27,191.24,5,5.0,0,5.0,MATCH
2026-04-30,DegreeFYD,LPU_University_Punjab_April_Ad1,287.23,287.23,5,5.0,0,5.0,MATCH
2026-04-30,DegreeFYD,LPU_Nest_April_Ad1,244.96,244.93,0,0.0,0,0.0,MATCH
2026-04-30,DegreeFYD,Online_MBA_SF_Ad_Set_T1_C1,392.2,391.75,0,0.0,0,0.0,MATCH
2026-04-30,DegreeFYD,Ignou_Online_MBA_SF_Ad1,358.2,356.39,6,2.0,0,0.0,DISCREPANCY
2026-04-30,DegreeFYD,IGNOU_ONLINE_Degree_CR1,545.17,545.06,15,5.0,0,5.0,DISCREPANCY
2026-04-30,DegreeFYD,Online_MBA_SF_G1_CR1,153.9,153.85,0,0.0,0,0.0,MATCH
2026-05-01,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1796.22,1795.12,40,38.0,0,35.0,DISCREPANCY
2026-05-01,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,1004.69,1003.27,48,44.0,0,39.0,DISCREPANCY
2026-05-01,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,532.34,531.89,21,19.0,0,18.0,DISCREPANCY
2026-05-01,Degreefyd_B,CU_Lucknow_Rem_Ad01,628.95,628.85,2,2.0,0,3.0,MATCH
2026-05-01,Degreefyd_B,CU_Lucknow_Rem_Ad02,25.8,25.8,0,0.0,0,0.0,MATCH
2026-05-01,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad02,53.24,53.24,1,1.0,0,1.0,MATCH
2026-05-01,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,459.22,459.13,7,7.0,0,7.0,MATCH
2026-05-01,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,398.31,398.31,18,6.0,0,14.0,DISCREPANCY
2026-05-01,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,166.02,165.92,3,3.0,0,3.0,MATCH
2026-05-01,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,174.6,174.6,6,4.0,0,3.0,DISCREPANCY
2026-05-01,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,256.83,256.82,3,1.0,0,0.0,DISCREPANCY
