Platform,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula
Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup
Google Ads,Degreefyd_Standard_Generic,2026-01-16,Punjab_Admissions,23443833083,625.2,2,2,0,0,313,313,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-16,DSA_Punjab_Generic_Admission,23292287218,878.56,19,12,1,1,46,73,15540,878.56,878.56,5.65%,37%
Google Ads,Degreefyd_Generic_Regular,2026-01-16,DSA_Punjab_Generic_Admission_Colleges,23463111599,320.36,8,5,0,0,40,64,0,-,-,-,38%
Google Ads,EP_LPU_Online_DFYD,2026-01-16,LPU_Online_Admission,23462286432,274.3,2,2,0,0,137,137,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-17,CU_Online_Admission,23470383548,63.84,0,0,0,0,64,64,0,-,-,-,0%
Google Ads,EP_LPU_Online_DFYD,2026-01-17,LPU_Online_Admission,23462286432,902.76,4,4,0,0,226,226,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-17,Punjab_Engineering_Admissions,23439004530,500.97,2,1,0,0,250,501,0,-,-,-,50%
Google Ads,Degreefyd_Standard_Generic,2026-01-17,Punjab_Admissions,23443833083,797.85,5,2,0,0,160,399,0,-,-,-,60%
Google Ads,Degreefyd_Generic_Competitor_Regular,2026-01-17,Punjab_Competitor_Uni_Punjabi,23442240654,330.54,3,2,1,1,110,165,3528,330.54,330.54,9.37%,33%
Google Ads,Degreefyd_Generic_Regular,2026-01-17,DSA_Punjab_Generic_Admission,23292287218,1025.44,16,14,1,0,64,73,0,1025.44,-,-,13%
Google Ads,Degreefyd_Generic_Regular,2026-01-17,DSA_Punjab_Generic_Admission_Colleges,23463111599,521.14,7,2,0,0,74,261,0,-,-,-,71%
Google Ads,Degreefyd_Generic_Exam,2026-01-18,JEE_Mains_Admit_Card,23465747037,268.07,17.33,17,0,0,15,16,0,-,-,-,2%
Google Ads,Degreefyd_Generic_Regular,2026-01-18,DSA_Punjab_Generic_Admission,23292287218,1004,16.67,14,1,1,60,72,15582,1004,1004,6.44%,16%
Google Ads,Degreefyd_Generic_Regular,2026-01-18,DSA_Punjab_Generic_Admission_Colleges,23463111599,431.96,6,9,0,0,72,48,0,-,-,-,-50%
Google Ads,Degreefyd_Generic_Competitor_Regular,2026-01-18,Punjab_Competitor_Uni_Punjabi,23442240654,317.67,2,3,0,0,159,106,0,-,-,-,-50%
Google Ads,Degreefyd_Standard_Generic,2026-01-18,Punjab_Engineering_Admissions,23439004530,439.28,0,0,0,0,439,439,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-18,Punjab_Admissions,23443833083,588.07,3,3,0,0,196,196,0,-,-,-,0%
Google Ads,EP_LPU_Online_DFYD,2026-01-18,LPU_Online_Admission,23462286432,1036.99,7,7,0,0,148,148,0,-,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-18,CU_Online_Admission,23470383548,880.59,4,3,0,0,220,294,0,-,-,-,25%
Google Ads,EP_LPU_Online_DFYD,2026-01-19,LPU_Online_Admission,23462286432,1589.45,11,11,1,0,144,144,0,1589.45,-,-,0%
Google Ads,EP_CU_Online_DFYD,2026-01-19,CU_Online_Admission,23470383548,1151.94,8,7,4,2,144,165,27258.77966,287.985,575.97,4.23%,13%
Google Ads,Degreefyd_Generic_Exam,2026-01-19,JEE_Mains_Admit_Card,23465747037,806.69,55.5,49,0,0,15,16,0,-,-,-,12%
Google Ads,Degreefyd_Generic_Competitor_Regular,2026-01-19,Punjab_Competitor_Uni_Punjabi,23442240654,272.93,1,1,0,0,273,273,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-19,Punjab_Engineering_Admissions,23439004530,201.17,1,1,0,0,201,201,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-19,Punjab_Admissions,23443833083,191.33,0,,0,0,191,191,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-19,DSA_Punjab_Generic_Admission,23292287218,347.48,6.5,4,1,1,53,87,5124,347.48,347.48,6.78%,38%
Google Ads,Degreefyd_Generic_Regular,2026-01-19,DSA_Punjab_Generic_Admission_Colleges,23463111599,540.2,6,5,0,0,90,108,0,-,-,-,17%
Google Ads,EP_CU_Online_DFYD,2026-01-20,CU_Online_Admission,23470383548,973.73,2,1,0,0,487,974,0,-,-,-,50%
